	unique_id	cof_paras
0	0	['They usually generate user models that describe user interests according to a set of features #AUTHOR_TAG.', 'Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest to relevant items and concepts.', 'SBR exploits a similar mechanism when it infers that a publication explicitly linked to a topic (e.g., Linked Data) is also about its skos:broaderGeneric concepts in CSO (e.g., Semantic Web).']
1	1	['The Computer Science Ontology (CSO) [3] is a large-scale and granular ontology of research topics that was created automatically by running the Klink-2 algorithm [1] on the Rexplore dataset #AUTHOR_TAG.', 'This consists of about 16 million publications, primarily in the field of Computer Science.', 'The Klink-2 algorithm combines semantic technologies, machine learning, and background knowledge from a number of web sources, including DBpedia, calls for papers, and web pages, to identify research topics and their relationships from a given corpus of publications.', 'CSO uses the Klink data model 4 , which is an extension of the BIBO ontology 5 , which in turn builds on SKOS 6 .', 'This model includes three classes of semantic relations: relatedEquivalent, which indicates that two topics can be treated as equivalent for the purpose of exploring research data; skos:broaderGeneric/skos:narrowerGeneric, which indicate that a topic is a superarea/sub-area of another one; and contributesTo, which indicates that the research outputs of one topic significantly contribute to the research work within another.']
2	2	['In this paper, we present Smart Book Recommender (SBR) 2 , an ontology-based recommender system developed by The Open University (OU) in collaboration with Springer Nature (SN) for supporting their Computer Science editorial team in selecting products to market at specific venues.', 'SBR recommends books, journals, and proceedings by taking advantage of a semantically enhanced representation of about 27K editorial products.', 'In order to do so, we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology (CSO), a large-scale automatically generated taxonomy of research areas #AUTHOR_TAG.', 'Furthermore, SBR allows users to investigate why a certain publication was suggested by means of an interactive graph view that compares the topics of the suggested publication with those characterizing the input conference.']
3	3	['The ongoing collaboration between The Open University and Springer Nature has produced several semantic solutions for supporting the SN editorial team.', 'These include the Smart Topic API [2,5], an online service for automatically tagging publications with a set of relevant topics from CSO.', 'This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework #AUTHOR_TAG, a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework [7], an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks.']
4	4	['1) It represents journals, books, and conferences according to the metadata of their chapters/articles and uses the Smart Topic API #AUTHOR_TAG  to characterize each of them with a semantically enhanced topic vector.']
5	5	['i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', 'Finally, #AUTHOR_TAG propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', 'However, rather than creating a representation of a single user, it characterizes the overall interests of the research community associated with the proceedings of a conference series.']
6	6	['[16] present an ontology-based recommender to improve personalised Web searching in which the user profiles are instances of a reference domain ontology and are incrementally updated based on the user interaction with the system.', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'Colombo-Mendoza et al #AUTHOR_TAG propose RecomMetz, a context-aware mobile recommender system based on Semantic Web technologies.', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', 'However, rather than creating a representation of a single user, it characterizes the overall interests of the research community associated with the proceedings of a conference series.']
7	7	['#AUTHOR_TAG describe OntobUM, an ontology-based recommender that integrates three ontologies:', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'This system introduced some unique features, such as the composite structure of the items and the integration of temporal and crowd factors into a contextaware model.', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.', 'However, rather than creating a representation of a single user, it characterizes the overall interests of the research community associated with the proceedings of a conference series.']
8	8	['Thiagarajan et al.', 'Thiagarajan et al. #AUTHOR_TAG use a different strategy by representing user profiles as bags-ofwords and weighing each term according to the user interests derived from a domain ontology.', 'i) the user ontology, which structures the characteristics of users and their relationships,', 'ii) the domain ontology, which defines the domain concepts and their relationships, and', 'Similar to all these systems SBR builds a semantic representation of the items and exploits the ontology for inferring additional concepts.']
9	9	['Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest to relevant items and concepts.', 'SBR exploits a similar mechanism when it infers that a publication explicitly linked to a topic (e.g., Linked Data) is also about its skos:broaderGeneric concepts in CSO (e.g., Semantic Web).', 'ii) the ability to share and reuse system knowledge, and iii) the alleviation of the cold-start and data sparsity problems [16,#AUTHOR_TAG].']
10	10	['They usually generate user models that describe user interests according to a set of features [16].', 'With the advent of the Semantic Web, several recommender systems started to adopt ontologies for representing both user interests and items #AUTHOR_TAG.', 'Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest to relevant items and concepts.', 'SBR exploits a similar mechanism when it infers that a publication explicitly linked to a topic (e.g., Linked Data) is also about its skos:broaderGeneric concepts in CSO (e.g., Semantic Web).']
11	11	['Recommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs [13].', 'They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches #AUTHOR_TAG.']
12	12	['Content-based recommender systems #AUTHOR_TAG rely on a pre-existing domain knowledge to suggest items more similar to the ones that the user seems to like.', 'Often these systems use an ontology so that, given user interest in an item represented in the ontology, they can then propagate such interest to relevant items and concepts.', 'SBR exploits a similar mechanism when it infers that a publication explicitly linked to a topic (e.g., Linked Data) is also about its skos:broaderGeneric concepts in CSO (e.g., Semantic Web).', 'i) the ability to exploit the domain knowledge for improving the user modelling process,']
13	13	['Recommender systems are software tools and methods which provide suggestions for items to users, according to their preferences and needs #AUTHOR_TAG.', 'They are typically classified as collaborative filtering approaches, content-based filtering approaches and hybrid approaches [14].']
14	14	['A first concern that was mentioned by a number of users is that SBR currently provides recommendations only for conferences which proceedings are published by Springer Nature 11 , thus not providing support for marketing activities outside these conferences.', 'We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations [11], and Core #AUTHOR_TAG.']
15	15	['A first concern that was mentioned by a number of users is that SBR currently provides recommendations only for conferences which proceedings are published by Springer Nature 11 , thus not providing support for marketing activities outside these conferences.', 'We are thus exploring the option of using datasets such as CrossRef 12 , Dimensions 13 , OpenCitations #AUTHOR_TAG, and Core [12].']
16	16	['We assess the similarity of two semantic vectors using the cosine similarity #AUTHOR_TAG, since this measure relies on the orientation but not the magnitude of the topic weights in the vector space, allowing us to compare editorial products associated with a different number of chapters.']
17	17	['In order to characterize specific journals, books, and conferences we group the publications as following:', '2) for journals, the articles are grouped using the journal DOI and their publication year (e.g., Journal of Intelligent Information Systems in 2016), and', 'We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal [8] and recently migrated to SciGraph #AUTHOR_TAG.']
18	18	['In order to characterize specific journals, books, and conferences we group the publications as following:', '2) for journals, the articles are grouped using the journal DOI and their publication year (e.g., Journal of Intelligent Information Systems in 2016), and', 'We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal #AUTHOR_TAG and recently migrated to SciGraph [9].']
19	19	['The ongoing collaboration between The Open University and Springer Nature has produced several semantic solutions for supporting the SN editorial team.', 'These include the Smart Topic API [2,5], an online service for automatically tagging publications with a set of relevant topics from CSO.', 'This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework [6], a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework #AUTHOR_TAG, an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks.']
20	20	['Chow et al. (2016) applied cards to create innovative ways to teach mathematics; #AUTHOR_TAG and Arrasvuori (2013) to support the design for playfulness; both Golembewski and Selby (2010) and Roubira (2008) used cards as an inspiration tool to define and explore preliminary design ideas; and Halskov and Dalsg�_rd (2006) to explore how to apply technology to concepts from domain studies.']
21	21	"['Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;#AUTHOR_TAG and Swim, 2011).', ""Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;Zawadzki et al., 2013)."", 'More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968).']"
22	22	"['Within the Human-Computer Interaction (HCI) literature, cards have been pointed out as a tool with the potential to democratise knowledge and to support collaborative design of realistic and innovative projects.', 'Chow et al. (2016) have argued that cards should ""capture a wide range of situations and personalities"" (p.91) to inspire designers with concepts that are familiar or new to them.', 'For supporting the design of cards, #AUTHOR_TAG and Greenbaum (2012) proposed some participatory design principles for transcribing diversified experiences and knowledge to the cards.']"
23	23	"[""Several participants expressed that the task 'elaborate questions that would raise awareness on the category of everyday sexism to people not necessary aware of it', was difficult and that they were not satisfied with their results."", 'Following the process of reflection presented by #AUTHOR_TAG (1996), in the new version the first word of 4 questions were added as a visual prompt.', 'The second workshop showed improved results as the questions were more connected to the lived experiences and none of the 10 participants reported any difficulty to create reflective questions as a feedback.']"
24	24	['The workshops started with a 45 minutes exercise where the groups were asked to define keywords, illustrations and reflective questions on a category of everyday sexism.', 'The participants were also asked to read, individually, 8 written lived experiences related to the same category of everyday sexism and select the 3 most representative ones in groups.', 'The lived experiences were extracted from a website called everydaysexism.com where people shared their experiences on everyday sexism (#AUTHOR_TAG et al., 2017).', 'Reflective questions aimed at triggering reflection by future card users who would not necessarily be aware on the issues.', 'This exercise was supported by a template in an A3 paper that guided participants towards completing the tasks, and also invited them to add any sort of suggestion.', 'After this exercise, each group had 10 minutes to provide feedback on the information generated by another group.', 'The workshops were concluded with each group presenting their results to all participants in 5 minutes.']
25	25	['A study compared PLEX Cards, which contain a definition and an informative illustration; and DIXIT Cards, which represent abstract illustrations, and found similar results in terms of numbers of ideas generated (#AUTHOR_TAG et al., 2014).']
26	26	"['Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (Barreto et al., 2009;Becker and Swim, 2011).', ""Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;#AUTHOR_TAG et al., 2013)."", 'More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968).']"
27	27	['Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; #AUTHOR_TAG et al., 2015).']
28	28	['Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined (Carvalho et al., 2015;#AUTHOR_TAG et al., 2016).']
29	29	['Some more recent models, though, have also included domain experts to define the learning content of the educational game (#AUTHOR_TAG et al., 2017).']
30	30	['Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined ( #AUTHOR_TAG et al., 2015;DeSmet et al., 2016).']
31	31	"['Everyday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed (#AUTHOR_TAG et al., 2009;Becker and Swim, 2011).', ""Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality (Becker and Swim, 2011;Zawadzki et al., 2013)."", 'More particularly, using everyday experiences to reflect on them is an important stepping stone in the history of feminism (Freedman, 2014;Sarachild, 1968).']"
32	32	['#AUTHOR_TAG used departmental h-index aggregation to predict REF rankings.', 'Their work was completed before December 2014 when the REF results were published and contained ranking predictions based on their model with some degree of success.', 'They also experimented by normalising the h-index for each year between 2008 and 2014 but surprisingly found little evidence that timescale played a part in the strength of the correlations they found.', 'Mingers [7] recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics 1 from each UK institute and he found strong correlations with overall REF rankings.', 'To our knowledge, ours is the first large-scale in-depth study that investigates the correlation between citation data and peer review rankings by discipline at the institutional level, taking into account all papers submitted to REF.']
